Codigo,Obra,Distribuidor,SKU,Cantidad,SubTipo,Orientacion,Area,Modelo,Sistema,Color,KAP,Linea,Acabado,Herraje,Pais,CodigoColor
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPT95150BZ,4,PTADER,,Baño de hombres 101,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPN150150BZ,3,PNCEN,,Baño de hombres 101,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPN150150BZ,1,PNLAT,,Baño de hombres 101,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPL16180BZ,1,PLLATMUR,MURO,Baño de hombres 101,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPL16180BZ,3,PLCEN,CENTRAL,Baño de hombres 101,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPL16180BZ,1,PLLAT,LATERAL,Baño de hombres 101,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFMG60120BZ,2,MG120,,Baño de hombres 101,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPT95150BZ,4,PTADER,,Baño de mujeres 102,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPN150150BZ,4,PNCEN,,Baño de mujeres 102,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPN150150BZ,2,PNLAT,,Baño de mujeres 102,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPL16180BZ,1,PLLATMUR,MURO,Baño de mujeres 102,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPL16180BZ,4,PLCEN,CENTRAL,Baño de mujeres 102,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPL16180BZ,2,PLLAT,LATERAL,Baño de mujeres 102,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPT92150BZ,2,PTADER,,Baño de mujeres 102,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFMG60120BZ,2,MG120,,Baño de mujeres 102,Estándar,Zoclo,BLANCO,NO,LEEDER,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPT92150BZ,4,PTADER,,Baño de hombres 201,Estándar,Zoclo,BLANCO,NO,Superior 2.0,Laminado Compacto,NEGRO,CR,
1042,Torre Escazú,Modumex Costa Rica,LM1LCRFPN150150BZ,5,PNCEN,,Baño de hombres 201,Estándar,Zoclo,BLANCO,NO,Superior 2.0,Laminado Compacto,NEGRO,CR,
